,Job-Title,Company-Name,Rating,Job-Location,Summary
0,Data Scientist,Curb food,,Stockholm,"You will work closely with business stakeholders to understand the business problem, translate it into a data science problem, understand the constraints like a feedback loop, data availability, and data quality, find a pragmatic end to end solution, not only implement the model training and…"
1,We are looking for our next Data Scientist!,Columbus,,Stockholm,"Experience building ETL pipelines and data environments.
Strong experience in machine learning, data science and/or AI modeling, etc.
We are looking for someone who has an understanding of how data can benefit the wider business and is able to translate technical requirements to non-technical…"
2,Data Scientist,Solita,4.2,Sverige,"Inom affärsområdet har vi förutom ett vasst data science-gäng även experter inom alla delar som behövs för att bygga upp en stark analytisk förmåga hos våra kunder, dvs strategikonsulter, projektledare, arkitekter, ETL-utvecklare, informationsarkitekter och BI experter."
3,Data Scientist to Coop Digital,Coop,3.4,Solna,"Develop in a full-fledged data science environment, entirely on cloud.
Familiar with the full stack of data science technologies (eg. Kubernetes, Git, Docker, etc).
Be part of the whole lifecycle of a data-driven product, from framing a problem to deploying a model in production and monitor…"
4,Data Scientist,Quinyx,5.0,Stockholm,"3+ years of working experience in a data scientist role or similar.
Develop and implement advanced models using state-of-the-art data technologies.
With a focus on strategic business, objectives perform analysis on structured and unstructured data, predictive modelling, pattern recognition, and…"
5,Lead Data Scientist (Europe - Remote),Shopify,3.9,Stockholm•Distans,"Experience creating data product strategies, shipping data products and iterating after launch,.
Identify, design and implement end-to-end focal data pipelines that scale and allow data & product to move fast.
Advance best practices within data science and product teams."
6,"Data Scientist, SDK Platform",Spotify,4.3,Stockholm•Distans,"Experience crafting analytical data layers and in conducting ETL with large and complex data sets.
Experience in data pipeline / workflow development with large datasets (Scala experience preferential).
Experience with data visualization and dashboarding (Tableau or Python/R plotting libraries)."
7,Data Scientist,Tibber,,Stockholm,"In this role, you'll among other things work on constantly improving Tibber's energy consumption time series forecasting.
You'll also be working on complex optimization problems involved in the optimal scheduling of the hundreds of thousands of connected smart devices in the Tibber fleet including…"
8,Data Scientist,PriceRunner,,Stockholm,"We are looking to welcome you who has a couple years of experience working as a data scientist / engineer in a customer-faced product company, preferably within E-commerce or retail.
You will also have close collaboration with our product owners, to deliver on high-impact initiatives for increased…"
9,Data Scientist,DBT,4.1,Stockholm,"Support with development of data management and processes.
Consolidate, explore and visualize data to find and understand patterns.
As Data Scientist you will support the management team within analysis, business development and data engineering.
Support the management team with financial analysis,…"
10,Data Scientist,Funmed,,Stockholm,"Den data FunMed samlar in genom sin verksamhet är affärskritisk och för att säkerställa att den struktureras och används på rätt sätt söker vi nu en Data Scientist.
Inom funktionsmedicinen fokuserar vi inte på̊ att dämpa sjukdomssymptom.
Idag har vi kliniker i Göteborg, Stockholm, Varberg och…"
11,Data scientist,Bombayworks,,Stockholm,"Experience in building data integration, data pipelines, data streams, data transformation and data visualization.
Your future team works in the hybrid area between data science and web analytics to support the client in taking data driven decisions.
(preferably Azure, GCP or AWS)."
12,Data Scientist,Evidens,,Stockholm•Tillfälligt på distans,"Evidens befinner sig just nu på en spännande tillväxtresa och söker en Data Scientist som vill vara med på denna resa.
För att lyckas i denna roll behöver du ha goda kunskaper om och erfarenhet av att arbeta med Python.
Du förstår och har beprövad erfarenhet av att jobba med Tableau eller annat BI…"
13,Data Scientist,Mavenoid,,Jobba hemifrån•Distans,"At least two years of industry experience in AI/ML/data-science roles.
Collaborate with stakeholders and other engineers to conceptualize, build and test new product features.
Provide model explanations and apply structure learning to refine product knowledge."
14,Data Scientist,Northmill,3.0,Stockholm,"A strong passion and great knowledge in cloud data platforms such as Snowflake or AWS and consider yourself fluent in SQL and R/Python.
Work in basically self-sufficient product teams with a high degree of autonomy.
An open mindset and a willingness to learn and explore."
15,Data Scientist - AFRY IT Solutions,AFRY,4.3,Stockholm,"As a passionate and skilled data scientist you are highly motivated to shape industries through Advanced Data Analytics.
You will be responsible for getting data from various sources, turning data into insights using machine learning techniques, and design and build AI tools to automate analysis…"
16,Research Scientist in Power Electronics Converter Developmen...,Hitachi ABB Power Grids,3.0,Västerås,"Conduct laboratory tests, analyze data, and improve/optimize the solutions.
You will work in dynamic, motivated and creative teams with a wide range of experience and competence and with access to highly advanced laboratory facilities.
Identify technical requirements and propose solution ideas in R…"
17,Data Scientist to Production.AI,H&M Group,3.1,Stockholm,"Have at least 3 - 5 years working experience in data science where you acquired broad knowledge of different data science techniques and you have working knowledge of Python.
You will be working in a cross-functional agile and innovative team with possibilities to explore, test, fail and learn…"
18,Senior Data Scientist,Marginalen Bank,2.8,Stockholm,"Utöver detta, kommer du i rollen att bearbeta stora datamängder i primärt SQL, R eller Python och kontinuerligt arbeta för att öka teamets tillgång till relevant data.
Som Senior Data Scientist blir du del av ett litet team med tre Data Scientists där vi tillsammans jobbar tight för att stötta…"
19,Data Scientist - Consumer Experience,Spotify,4.3,Göteborg•Tillfälligt på distans,"Familiar with qualitative research methods, utilizing data from interviews, surveys and co-creation activities to synthesise with quantitative data.
Work closely with data scientists, user researchers, product managers, designers and engineers.
Our cross-functional team drives strategic decision…"
20,Data Scientist - IBM CIC,IBM,3.9,Malmö,"Ability to transform and manage large data sets is preferred.
Coding skills using common data science tools, preferably SQL and Python.
To be successful in this role, you must be analytical, curious and have a passion for data.
As a Data Scientist at IBM, you will help transform our clients’ data…"
21,Senior Data Scientist,Acast,5.0,Stockholm,"Using data visualization and reporting tools (e.g. Tableau).
Develop scalable solutions for audio targeted advertising ( e.g. audience, contextual ) that use data ethically.
We’re now ready to build differentiated products on top of those foundations, utilizing data to drive product development."
22,Game Analyst/ Data Scientist,Evolution,3.9,Stockholm,"Modeling player behavior using historical data and interpreting the models;
Coding for data extraction, manipulation, clustering and modeling;
We are looking for an individual with the mathematical intuition that comes after years of studying and working with numbers and data."
23,"Application Scientist - TAPS (Technology, Application &...",Olink,,Uppsala,"In collaboration with the field application scientist, provide advanced customer applications support to business development managers and customers, including Olink kit and core labs.
This includes technical support, troubleshooting issues related to user technical skill, instrument operation, and…"
24,Senior Data Scientist,Mathem,2.6,Stockholm,"Support and drive initiatives across our domains by discovering data insights and helping the team make data-driven decisions.
Coding languages used in the data team.
Work closely with data engineers to create, launch and maintain machine learning models into production.
A real passion for AI."
25,Senior Data Scientist with research interest,Peltarion,,Stockholm,"In every project, evaluate how well new research works when applied to real-life challenges.
Take responsibility for leading projects - liaise with customers/stakeholders, support peers completing the project, and report results.
Coach and mentor peers to develop their skills."
26,Product Data Scientist,Epidemic Sound,1.0,Stockholm,"Good understanding of data engineering practices and data modeling.
Fluency in Python or R for data analysis.
1+ year of working experience in a similar data scientist role and a degree in science, computer science, statistics, economics, mathematics, or similar quantitative discipline."
27,Data Scientist/Fullstack-utvecklare inom Ontologier/GraphDB...,Altran,3.3,Borlänge,"Stark uppmuntran att utvecklas inom olika certifieringsprogram för utveckling, cloud och data science.
Våra ledstjärnor har under lång tid varit talang, ambition och ödmjukhet.
Hundratals förmåner på Capgemini Engineering Plus+ (Benify).
Goda möjligheter till flexibel arbetstid och plats."
28,Product Development Leader - Data Scientist,Ericsson,4.1,Karlskrona,"Experience in leading data science projects.
Knowledge in data science applied to software engineering improvement.
Understanding and evaluate requirements, translating business problems to data science metrics.
You will lead the DICE team from both data science and software development perspectives…"
29,Data Scientist - Marketing Automation,Klarna,3.6,Stockholm,"Experience with big data using Hive, Spark, EMR.
Since then we have added many new data science areas such as predicting customer lifetime value, predicting return behavior in e-commerce, etc.
This includes everything from root cause analysis, data collection and feature engineering to training,…"
30,Data Scientist,Einride,,Göteborg,"Have great skills in visualizing complex data.
Experience of working with logistics, maps and/or GPS trajectory data.
Be a core part of one of our cross-functional product teams, building products and spreading data literacy.
As a Data Scientist at Einride, your job is to make sense of data and to…"
31,Data Scientist,Volvo Group,4.1,Göteborg,"You will work as a Data Scientist within the area of Advanced Analytics depending on your previous experience, You will be identifying what is available on the external market as well as the internal Volvo Group organizations and how we can benefit within Q&CS to utilize Analytics within our…"
32,Data Scientist,VetFamily Holding AB,,Stockholm,"Hands-on experience with data pipelines, ETLs, and data visualization tools.
Develop and maintain our data warehouse solution.
Develop solutions that make data insights accessible to all.
A crucial aspect to achieve their ambitions is to develop a Data Warehouse to enable structuring, analyzing and…"
33,Data Scientist at Aditro Logistics,Aditro Logistics,4.5,Stockholm•Distans,"Find that data and start playing with it.
Deep understanding of statistics and experience working with real-world data.
Understanding and conducting analysis on large data sets, matching relevant dimensions to extract new useful information.
Experience visualizing data and/or building dashboards,…"
34,DATA SCIENTIST (NLP),Harnham,4.6,Stockholm•Distans,"This is a unique opportunity where you'd be able to work remotely AND flexible (start and end time).
The company is a young start-up founded a few years back and is focused on the use of AI in its support to clients.
Build and test new features to different products."
35,Data Specialist focused on Data recruitment to SEB in Stockh...,SEB,3.8,Stockholm,"Be responsible to lead our internal data related recruitment's globally such as data scientist, data engineers, data analyst & data stewards etc.
Leading the full recruitment cycle for various data positions: from identifying business needs and creating a sourcing strategy, to find, attract, close…"
36,Data Scientist/Fullstack-utvecklare inom Ontologier/GraphDB...,CAPGEMINI ENGINEERING,3.3,Borlänge,"Stark uppmuntran att utvecklas inom olika certifieringsprogram för utveckling, cloud och data science.
Våra ledstjärnor har under lång tid varit talang, ambition och ödmjukhet.
Hundratals förmåner på Capgemini Engineering Plus+ (Benify).
Goda möjligheter till flexibel arbetstid och plats."
37,Data Scientist till Acobia i Malmö,Acobia,5.0,Malmö,"Idag sitter du med två olika projekt parallellt och programmerar python samt modellerar och analyserar data.
Du har känsla/förståelse kring affärsvärdet av ML i olika situationer; när lämpar sig ML och inte.
Då erbjuder vi dig; Ett sammanhang där samarbete, ansvarstagande och nytänkande värdesätts…"
38,Senior Data Scientist,King.com,4.2,Stockholm,"You have hands on experience in various projects working as a data scientist.
Good knowledge of data mining and machine learning.
Experience in cloud data products (BigQuery, Dataflow or similar).
Strong programming experience, manipulating and analyzing data (Java and Python)."
39,Principal Data Scientist,King.com,4.2,Stockholm,"Identify potential business opportunities through data/analysis.
Champion data within the team, and share your knowledge with the wider Data Science community.
Familiarity with massive data sets and tools to deal with them (BigQuery/AWS/Hadoop etc).
Lead Data Science for Crash Bandicoot - On the Run…"
40,"Senior Data Scientist, Platform Insights",Spotify,4.3,Stockholm•Distans,"We leverage this data to identify bottlenecks, make Spotify faster, and promote data-informed decisions in the Platform mission.
Collaborate closely with engineers, data scientists and team leads across the mission to build and promote shared methods to take data advised decisions."
41,Data Scientist,Mavenoid AB,,Stockholm•Distans,"At least two years of industry experience in AI/ML/data-science roles.
Collaborate with stakeholders and other engineers to conceptualize, build and test new product features.
Provide model explanations and apply structure learning to refine product knowledge."
42,VIE - Supply Chain Data Scientist F/H,Volvo Group,4.1,Göteborg,"Enable a solution combining master data from several systems.
Within the team we are responsible for different areas, but all connected through master data.
As a Data Scientist, you will be developing our processes & decision making through smart & efficient master data solutions."
